.h.br,hbr-linebreak
.h.c0,hc0-web-color
.h.c1,hc1-web-color
.h.cd,hcd-csv-from-data
.h.code,hcode-code-after-tab
.h.ed,hed-excel-from-data
.h.edsn,hedsn-excel-from-tables
.h.fram,hfram-frame
.h.ha,hha-anchor
.h.hb,hhb-anchor-target
.h.hc,hhc-escape-lt
.h.he,hhe-http-400
.h.hn,hhn-http-response
.h.hp,hhp-http-pre
.h.hr,hhr-horizontal-rule
.h.ht,hht-marqdown-to-html
.h.hta,hhta-start-tag
.h.htac,hhtac-element
.h.htc,hhtc-element
.h.html,hhtml-document
.h.http,hhttp-hyperlinks
.h.hu,hhu-uri-escape
.h.hug,hhug-uri-map
.h.hy,hhy-http-response-content
.h.HOME,hhome-webserver-root
.h.iso8601,hiso8601-iso-timestamp
.h.jx,hjx-table
.h.logo,hlogo-kx-logo
.h.nbr,hnbr-no-break
.h.pre,hpre-pre
.h.sa,hsa-anchor-style
.h.sb,hsb-body-style
.h.sc,hsc-uri-safe
.h.td,htd-tsv-from-data
.h.text,htext-paragraphs
.h.tx,htx-filetypes
.h.ty,hty-mime-types
.h.uh,huh-uri-unescape
.h.val,hval-value
.h.xd,hxd-xml
.h.xmp,hxmp-xmp
.h.xs,hxs-xml-escape
.h.xt,hxt-json