.Q.a,qa-lower-case-alphabet
.Q.A,qa-upper-case-alphabet
.Q.addmonths,qaddmonths-.q.addr-ip-address
.Q.bt,qbt-backtrace
.Q.btoa,qbtoa-b64-encode
.Q.bv,qbv-build-vp
.Q.chk,qchk-fill-hdb
.Q.cn,qcn-count-partitioned-table
.Q.Cf,qcf-create-empty-nested-char-file
.Q.D,qd-partitions
.Q.dd,qdd-join-symbols
.Q.def,qdef-.q.dpft-save-table
.Q.dpfts,qdpfts-save-table-with-symtable
.Q.dsftg,qdsftg-load-process-save
.Q.en,qen-enumerate-varchar-cols
.Q.ens,qens-enumerate-against-domain
.Q.f,qf-format
.Q.fc,qfc-parallel-on-cut
.Q.ff,qff-append-columns
.Q.fk,qfk-foreign-key
.Q.fmt,qfmt-format
.Q.fps,qfps-streaming-algorithm
.Q.fs,qfs-streaming-algorithm
.Q.fsn,qfsn-streaming-algorithm
.Q.ft,qft-apply-simple
.Q.fu,qfu-apply-unique
.Q.gc,qgc-garbage-collect
.Q.hdpf,qhdpf-save-tables
.Q.hg,qhg-http-get
.Q.host,qhost-hostname
.Q.hp,qhp-http-post
.Q.id,qid-sanitize
.Q.ind,qind-partitioned-index
.Q.j10,qj10-encode-binhex
.Q.x10,qx10-decode-binhex
.Q.j12,qj12-encode-base-36
.Q.x12,qx12-decode-base-36
.Q.k,qk-version
.Q.l,ql-load
.Q.M,qm-long-infinity
.Q.MAP,qmap-maps-partitions
.Q.opt,qopt-command-parameters
.Q.par,qpar-locate-partition
.Q.pd,qpd-modified-partition-locations
.Q.pf,qpf-partition-field
.Q.pn,qpn-partition-counts
.Q.pt,qpt-partitioned-tables
.Q.pv,qpv-modified-partition-values
.Q.P,qp-segments
.Q.PD,qpd-partition-locations
.Q.PV,qpv-partition-values
.Q.qp,qqp-is-partitioned
.Q.qt,qqt-is-table
.Q.res,qres-keywords
.Q.s,qs-plain-text
.Q.s1,qs1-string-representation
.Q.sbt,qsbt-string-backtrace
.Q.sha1,qsha1-sha-1-encode
.Q.trp,qtrp-extend-trap
.Q.ts,qts-time-and-space
.Q.ty,qty-type
.Q.u,qu-date-based
.Q.v,qv-value
.Q.V,qv-table-to-dict
.Q.view,qview-subview
.Q.vp,qvp-missing-partitions
.Q.w,qw-memory-stats
.Q.x,qx-non-command-parameters
.Q.Xf,qxf-create-file